text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
Routine peel da mặt & body 🧖🏻‍♀️ #chamsocda #tiplamdep #reviewlamdep #xuhuongtiktok #fyp #xh #skincare #peelda #myphamchinhhang ,2025-06-12 20:42:26,12/06/2025,False,https://www.tiktok.com/@huynhanhthu_cosmetic,why by plave sped up ver,7237644868913335082,https://www.tiktok.com/@huynhanhthu_cosmetic/video/7515057789769649416,72,685,21,44100,226,42,"chamsocda, tiplamdep, reviewlamdep, xuhuongtiktok, fyp, xh, skincare, peelda, myphamchinhhang",False,False,huynhanhthu_cosmetic,False,False,False,2,9,7,0,0,0,1,0,0
Chiến tới cùng :))) #chamsocda #reviewlamdep #tiplamdep #xuhuongtiktok #fyp #xh ,2025-06-08 23:18:20,08/06/2025,False,https://www.tiktok.com/@huynhanhthu_cosmetic,nhạc nền - 𝚜𝚘 𝚜𝚊𝚍 𝚌𝚞̛̣𝚌 𝚖𝚊̣𝚗𝚑,7379935912123222785,https://www.tiktok.com/@huynhanhthu_cosmetic/video/7513613624015998216,10,13700,1749,339600,1369,343,"chamsocda, reviewlamdep, tiplamdep, xuhuongtiktok, fyp, xh",False,False,huynhanhthu_cosmetic,False,False,False,0,6,4,0,0,0,0,1,1
+ 1 tips ủ trắng mặt 😍 #chamsocda #reviewlamdep #xuhuongtiktok #tiplamdep #ủtrắngmặt #skincare ,2025-05-26 20:10:40,26/05/2025,False,https://www.tiktok.com/@huynhanhthu_cosmetic,nhạc nền - Huỳnh Anh Thư,7508741185645906704,https://www.tiktok.com/@huynhanhthu_cosmetic/video/7508741155283111176,60,5596,215,225400,1197,122,"chamsocda, reviewlamdep, xuhuongtiktok, tiplamdep, ủtrắngmặt, skincare",False,False,huynhanhthu_cosmetic,False,False,False,1,6,6,0,0,0,1,0,0
Roitine sáng tối sau peel #peelda #reviewlamdep #xuhuongtiktok #chamsocda #skincare #myphamchinhhang #tiplamdep #fyp ,2025-05-20 23:20:47,20/05/2025,False,https://www.tiktok.com/@huynhanhthu_cosmetic,nhạc nền - Huỳnh Anh Thư,7506563684484188944,https://www.tiktok.com/@huynhanhthu_cosmetic/video/7506563630662454535,66,404,25,29500,103,29,"peelda, reviewlamdep, xuhuongtiktok, chamsocda, skincare, myphamchinhhang, tiplamdep, fyp",False,False,huynhanhthu_cosmetic,False,False,False,0,8,5,0,0,0,0,1,0
Đến ngày peel da 🧖🏻‍♀️ #peel #peelda #reviewlamdep #xuhuongtiktok #chamsocda #skincare #myphamchinhhang #tiplamdep ,2025-05-17 20:38:00,17/05/2025,False,https://www.tiktok.com/@huynhanhthu_cosmetic,nhạc nền - 𝙜𝙬𝙖𝙣𝙜𝙥𝙖𝙡✨,7231911480464329477,https://www.tiktok.com/@huynhanhthu_cosmetic/video/7505408428823563538,73,2005,80,115700,284,88,"peel, peelda, reviewlamdep, xuhuongtiktok, chamsocda, skincare, myphamchinhhang, tiplamdep",False,False,huynhanhthu_cosmetic,False,False,False,2,8,5,0,0,0,1,0,1
Skincare đến độ báo thức dậy sớm như này xứng đáng dc da đẹp 😝 #nạthạch #matna #reviewlamdep #xuhuongtiktok #chamsocda #skincare #xuhuongtiktok #myphamchinhhang ,2025-05-14 21:18:04,14/05/2025,False,https://www.tiktok.com/@huynhanhthu_cosmetic,原声 - Anh 3 Dịch Dương,7458657737413577488,https://www.tiktok.com/@huynhanhthu_cosmetic/video/7504305502080322823,45,1705,46,116800,268,67,"nạthạch, matna, reviewlamdep, xuhuongtiktok, chamsocda, skincare, xuhuongtiktok, myphamchinhhang",False,False,huynhanhthu_cosmetic,False,False,False,1,8,14,0,0,0,1,0,0
Dưỡng kem mà quên bước này thì còn lâu mới lên tone nha mấy bà #tiplamdep #ủtrắng #ủtrắngbody #fyp #reviewlamdep #xuhuongtiktok #chamsocda ,2025-05-13 21:08:31,13/05/2025,False,https://www.tiktok.com/@huynhanhthu_cosmetic,nhạc nền - Huỳnh Anh Thư,7503931984197028624,https://www.tiktok.com/@huynhanhthu_cosmetic/video/7503931952743877895,39,457,21,27200,125,18,"tiplamdep, ủtrắng, ủtrắngbody, fyp, reviewlamdep, xuhuongtiktok, chamsocda",False,False,huynhanhthu_cosmetic,False,False,False,0,7,15,0,0,0,1,0,0
Quay lai sau 4 tháng ra đảo 🤩 #unbox #tiplamdep #reviewlamdep #xuhuongtiktok #fyp ,2025-05-11 21:04:45,11/05/2025,False,https://www.tiktok.com/@huynhanhthu_cosmetic,蜜桃物语,7123789566997252127,https://www.tiktok.com/@huynhanhthu_cosmetic/video/7503188819626183944,217,338,10,38800,7,3,"unbox, tiplamdep, reviewlamdep, xuhuongtiktok, fyp",False,False,huynhanhthu_cosmetic,False,False,False,1,5,7,0,0,0,1,0,1
"Cứuu cánh làn da khô của t thật sự luôn, mùa này chắc ai cũng cần 👍🏻 #serum #skincare #tiplamdep #reviewlamdep #labonita #b5labonita ",2025-01-13 19:25:04,13/01/2025,False,https://www.tiktok.com/@huynhanhthu_cosmetic,nhạc nền - Huỳnh Anh Thư,7459375155874581264,https://www.tiktok.com/@huynhanhthu_cosmetic/video/7459375078342479122,75,264,15,29100,9,2,"serum, skincare, tiplamdep, reviewlamdep, labonita, b5labonita",False,False,huynhanhthu_cosmetic,False,False,False,1,6,16,0,0,0,1,0,0
Ủ trắng đón tết thuui mấy bà 🧖🏻‍♀️ #tiplamdep #skincare #reviewlamdep #chamsocda #ủtrắngmặt #ủtrang #ủtrắngbody ,2025-01-04 21:55:18,04/01/2025,False,https://www.tiktok.com/@huynhanhthu_cosmetic,Long Way 2 Go (Instrumental),6705074061275301889,https://www.tiktok.com/@huynhanhthu_cosmetic/video/7456074022317477138,60,102,11,9397,15,6,"tiplamdep, skincare, reviewlamdep, chamsocda, ủtrắngmặt, ủtrang, ủtrắngbody",False,False,huynhanhthu_cosmetic,False,False,True,2,7,8,0,0,0,1,0,1
